Name,Calcium,Carbohydrate,Cholesterol,Energy,Fat,Folate,Iron,Magnesium,Niacin,Phosphorus,Potassium,Protein,Riboflavin,Saturated fatty acids,Sodium,Thiamin,Total Fiber,Trans fatty acids,Vitamin A,Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
Classic Carrot Cake With Cream Cheese Frosting,220.25992669121385,62.851399794422,211.6248239925248,1077.8546995752768,86.31716510117555,42.01158127353867,1.7571875301349853,50.28852810753328,1.2959761766055988,356.8874171161472,444.97377126403126,13.0769404300548,0.3583296068909151,29.64893162170756,686.0018772772346,0.243422041003874,4.620973068237305,0.8707650771526918,884.1526168439387,0.4294360995800129,0.2173841159054547,3.743783997818391,0.5,7.732024635061959,11.672684278936044,2.013227489657325
Classic Macaroni and Cheese,776.4273554437586,126.79321997442388,153.59771087314468,1217.1024481446202,55.77971940935102,65.88483393293342,2.559213908952777,123.41398724505112,3.154947462786709,797.7806609772864,658.3717252641013,45.04628720402168,0.7503339084974745,32.196978086973225,1013.4385760591728,0.2843842063932806,5.527930123459696,1.1367500317172683,485.50754936709353,1.4492244097129654,0.3503765900688119,0.2345112945645315,3.117703952024457,1.5502028608518514,6.45093221756686,5.727225665215156
Creamy Mushrooms Over Soba Noodles (Vegan),135.26414540577431,82.22498381456953,0.0,560.9937305991604,7.331246736958651,111.13918380727696,4.482799603690087,121.59949256896246,12.52319293136402,549.8201813710326,1340.5906299549852,21.576998567932577,1.2598434280699051,1.728085803893992,776.8393597009394,0.6643394016415864,3.423168197007664,0.0,50.73819611105856,0.1550388000488281,0.601172655273423,17.965037002563477,1.207148776228956,0.4841518875121311,1.359359374999901,3.526225626678236
Crispy Panko and Herb Crusted Salmon,59.18827475142479,12.543366723725198,83.15862197875977,482.23845675238965,32.15175773397625,63.47918232287467,1.3587731565134231,49.9584903255254,13.50682778064266,378.5178204079419,676.0144068214298,32.92352222334146,0.2629494504287839,6.191118601434678,310.95652761563656,0.3403468141291738,1.519716686655581,0.0,153.21321459311247,4.883679072570801,1.0626804008693398,42.59836977863311,16.631724395751956,7.501484419102073,95.3649876871854,0.6941926489023863
Curried Cauliflower Gratin,84.17799722084723,11.633831095600868,10.176666969954969,288.23750125411897,24.22289082043288,106.08907686724896,4.318480969900378,71.11260797612199,1.5759399148533937,164.45599893491345,711.2570724089835,5.860711036653912,0.1166768054531638,16.417157050267647,388.6509605982448,0.1322993998546686,5.82282925498278,0.0,37.26401499825408,0.0152363734834553,0.3492926737931335,74.96637231420979,0.0,2.0082997164039864,32.2088849404374,1.1256284432205377
Easy Eclairs,219.10140774850885,104.281899230251,382.26603625154326,1236.1480759266406,84.06833307578694,123.10972365145584,3.701320874547901,53.723245223356216,3.024302246180978,349.18749256663955,444.920677059398,18.59993458283129,0.714409424524757,39.651635942982566,544.5773237780262,0.3727888302468744,2.398166667580199,0.8785266704079462,562.2586111253923,1.1336478954941842,0.1856865702954918,0.4198225822983707,3.783131712633062,2.890203041534708,14.246018656555508,1.992536422077172
Fenugreek Roti,34.477024462492906,14.319961391789125,33.67812500592579,223.99293100614,14.744035796827353,61.11133304114836,4.760181329682689,45.49322780047152,0.5168955365669246,85.12457009417243,213.3161449350003,6.249095767157871,0.066512754339871,8.385895742010915,108.26956246164356,0.1065381432431171,4.5291690844591255,0.0,114.57785707313472,0.0126312501686571,0.1396276504772922,0.4889345038741101,0.003062500045583,0.5534140012846577,2.455165003384918,0.7175281178054393
Fresh Herb Omelette,221.89175,3.765975000000001,328.42,314.71975000000003,25.512585,62.33825,2.2516975,29.599750000000004,0.6122650000000002,281.3605,347.4225,16.339550000000003,0.461785,6.5085575,275.605,0.073453,1.3884250000000002,0.03268,209.04075,0.9154,0.2279097499999999,12.386,1.7825,3.4219900000000005,57.9345,1.6585275
Grilled Guacamole with Pistachios,45.50220833333617,13.382587500000035,0.0,267.11866666666765,18.76294083333335,112.69535416666928,1.704898125000075,61.15872916666776,2.946377500000047,145.109062500002,823.1329166666887,6.160587500000091,0.2096479375000068,2.6854372916666667,322.6982083333353,0.2274923333333361,10.805558333333453,0.0,140.69289583334756,0.0,0.5250849166666729,28.014481250001143,0.0,2.638508958333439,25.49942083334644,1.228099791666688
"Guf"" Danish Ice Cream Topping",5.917856791366946,15.626875034570356,0.0,71.10503654689805,0.1176669643521769,7.936177311617672,0.138370562439318,5.55383559247096,0.1281210394951189,9.347077818768796,71.69417836778017,1.899138899376739,0.0777106694758342,0.0052690917651374,26.4159102359251,0.0080378439782894,0.5746150131229454,0.0,0.2834950065612793,0.0140391859677266,0.0152733867510909,17.65313138585311,0.0,0.0860260519029643,0.6236890144348145,0.0470148629078857
